sample_id	health_status
ERS2431609	Healthy
ERS2431610	Healthy
ERS2431611	Healthy
ERS2431616	Healthy
ERS2431618	Healthy
ERS2431620	Healthy
ERS2431623	Healthy
ERS2431624	Healthy
ERS2431626	Healthy
ERS2431627	Healthy
ERS2431630	Healthy
ERS2431632	Healthy
ERS2431634	Healthy
ERS2431635	Healthy
ERS2431639	Healthy
ERS2431640	Healthy
ERS2431641	Healthy
ERS2431646	Healthy
ERS2431647	Healthy
ERS2431648	Healthy
ERS2431651	Healthy
ERS2431653	Healthy
ERS2431654	Healthy
ERS2431658	Healthy
ERS2431659	Healthy
ERS2431662	Healthy
ERS2431664	Healthy
ERS2431668	Healthy
ERS2431670	Healthy
ERS2431676	Healthy
ERS2431677	Healthy
ERS2431678	Healthy
ERS2431682	Healthy
ERS2431686	Healthy
ERS2431688	Healthy
ERS2431690	Healthy
ERS2431691	Healthy
ERS2431696	Healthy
ERS2431697	Healthy
ERS2431700	Healthy
ERS2431707	Healthy
ERS2431708	Healthy
ERS2431709	Healthy
ERS2431711	Healthy
ERS2431713	Healthy
ERS2431714	Healthy
ERS2431718	Healthy
ERS2431720	Healthy
ERS2431727	Healthy
ERS2431728	Healthy
ERS2431729	Healthy
ERS2431734	Healthy
ERS2431735	Healthy
ERS2431738	Healthy
ERS2431740	Healthy
ERS2431744	Healthy
ERS2431745	Healthy
ERS2431748	Healthy
ERS2431750	Healthy
ERS2431754	Healthy
ERS2431757	Healthy
ERS2431758	Healthy
ERS2431763	Healthy
ERS2431764	Healthy
ERS2431766	Healthy
ERS2431769	Healthy
ERS2431771	Healthy
ERS2431773	Healthy
ERS2431776	Healthy
ERS2431777	Healthy
ERS2431783	Healthy
ERS2431784	Healthy
ERS2431785	Healthy
ERS2431615	Healthy
ERS2431617	Healthy
ERS2431619	Healthy
ERS2431625	Healthy
ERS2431628	Healthy
ERS2431629	Healthy
ERS2431631	Healthy
ERS2431633	Healthy
ERS2431636	Healthy
ERS2431637	Healthy
ERS2431642	Healthy
ERS2431644	Healthy
ERS2431645	Healthy
ERS2431656	Healthy
ERS2431660	Healthy
ERS2431661	Healthy
ERS2431663	Healthy
ERS2431666	Healthy
ERS2431671	Healthy
ERS2431672	Healthy
ERS2431674	Healthy
ERS2431679	Healthy
ERS2431684	Healthy
ERS2431685	Healthy
ERS2431689	Healthy
ERS2431694	Healthy
ERS2431695	Healthy
ERS2431699	Healthy
ERS2431701	Healthy
ERS2431702	Healthy
ERS2431703	Healthy
ERS2431706	Healthy
ERS2431710	Healthy
ERS2431712	Healthy
ERS2431717	Healthy
ERS2431719	Healthy
ERS2431721	Healthy
ERS2431722	Healthy
ERS2431726	Healthy
ERS2431730	Healthy
ERS2431733	Healthy
ERS2431736	Healthy
ERS2431737	Healthy
ERS2431739	Healthy
ERS2431742	Healthy
ERS2431743	Healthy
ERS2431749	Healthy
ERS2431751	Healthy
ERS2431753	Healthy
ERS2431756	Healthy
ERS2431759	Healthy
ERS2431761	Healthy
ERS2431765	Healthy
ERS2431767	Healthy
ERS2431770	Healthy
ERS2431772	Healthy
ERS2431778	Healthy
ERS2431779	Healthy
ERS2431781	Healthy
ERS2431786	Healthy
ERS2431787	Healthy
ERS2431612	Healthy
ERS2431613	Healthy
ERS2431614	Healthy
ERS2431621	Healthy
ERS2431622	Healthy
ERS2431638	Healthy
ERS2431643	Healthy
ERS2431649	Healthy
ERS2431650	Healthy
ERS2431652	Healthy
ERS2431655	Healthy
ERS2431657	Healthy
ERS2431665	Healthy
ERS2431667	Healthy
ERS2431675	Healthy
ERS2431680	Healthy
ERS2431681	Healthy
ERS2431683	Healthy
ERS2431687	Healthy
ERS2431692	Healthy
ERS2431693	Healthy
ERS2431698	Healthy
ERS2431704	Healthy
ERS2431705	Healthy
ERS2431715	Healthy
ERS2431716	Healthy
ERS2431723	Healthy
ERS2431724	Healthy
ERS2431731	Healthy
ERS2431732	Healthy
ERS2431746	Healthy
ERS2431747	Healthy
ERS2431752	Healthy
ERS2431755	Healthy
ERS2431760	Healthy
ERS2431762	Healthy
ERS2431768	Healthy
ERS2431774	Healthy
ERS2431775	Healthy
ERS2431780	Healthy
ERS2431782	Healthy
ERS2431669	Healthy
ERS2431673	Healthy
ERS2431725	Healthy
ERS2431741	Healthy
