# Constructed from biom file
# OTU ID	ERZ778604	taxonomy
223211	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas
85823	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Neptuniibacter
48953	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter
44470	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
180989	1.0	sk__Bacteria;k__;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Halobacteriovoraceae;g__Halobacteriovorax
101210	2.0	sk__Bacteria;k__;p__Verrucomicrobia
6794	2.0	sk__Chloroplast
192431	7.0	sk__Eukaryota
252432	1.0	sk__Eukaryota;k__;p__;c__;o__Cercomonadida;f__Cercomonadidae;g__Massisteria
55313	1.0	sk__Eukaryota;k__;p__;c__Oligohymenophorea;o__Philasterida
243305	1.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes
233398	1.0	sk__Mitochondria
