4328870	1.0
198192	7.0
195221	105.0
198198	1.0
193592	14.0
206887	104.0
694616	11.0
302049	2.0
195177	1.0
296007	13.0
197992	16.0
197497	1.0
187248	52.0
180446	18.0
108909	1.0
199575	8.0
526690	327.0
198511	34.0
355510	87.0
594227	13.0
4313722	55.0
1083016	4.0
317065	1.0
572237	279.0
192071	1.0
189478	2.0
366716	7.0
197080	1.0
192773	2.0
368950	7.0
531582	114.0
993647	1.0
196125	68.0
177310	11.0
292735	37.0
198423	72.0
567669	8.0
730906	1.0
191468	1.0
530319	1.0
4369050	1.0
198830	32.0
302352	9.0
369017	1.0
304641	7.0
926362	13.0
339221	2.0
295085	5.0
1580377	1.0
192912	16.0
193148	18.0
193679	4.0
328544	3.0
747980	1.0
848615	75.0
521996	41.0
362389	93.0
180795	1.0
186352	2.0
192326	6.0
175960	1.0
851704	41.0
644946	4.0
523934	26.0
514363	23.0
529233	22.0
327050	197.0
350091	1.0
360392	4.0
336761	1.0
197696	2.0
2023151	1.0
191633	2.0
328035	5.0
3229180	104.0
188658	1.0
329520	66.0
184494	3.0
190332	1.0
347875	1.0
545061	35.0
844750	6.0
352503	9.0
181421	6.0
199301	2.0
318348	1.0
185988	190.0
355102	1.0
295031	1.0
198521	8.0
344154	7.0
312986	1.0
198990	1.0
180556	1.0
196286	1.0
296137	1.0
182116	1.0
185136	1.0
514988	2.0
342934	1.0
198011	8.0
187210	1.0
549837	3.0
174998	2.0
179826	13.0
335577	4.0
192720	4.0
574102	54.0
516198	1.0
521259	4.0
293508	1.0
177042	1.0
308544	10.0
365717	1.0
532203	190.0
292633	3.0
209685	10.0
348642	2.0
309795	3.0
1090059	1.0
315589	1.0
194648	20.0
362371	7.0
359809	175.0
287978	96.0
189887	1.0
301149	14.0
518389	102.0
188433	3.0
199745	41.0
197552	13.0
366651	2.0
173996	2.0
194896	3.0
294196	1.0
329274	3.0
197367	6.0
180052	1.0
187000	1.0
523418	7.0
301253	2.0
754778	1.0
169600	8.0
4414914	2.0
199268	56.0
183012	1.0
4307309	3.0
350105	2.0
197524	10.0
360837	2.0
192228	1.0
249493	6.0
580629	308.0
195061	2.0
193951	1.0
525966	9.0
363127	1.0
174801	1.0
168313	10.0
185769	33.0
562376	1.0
329096	8.0
593422	20.0
198422	2.0
181899	1.0
4299137	1.0
1141758	1.0
518865	229.0
194761	1.0
520864	29.0
184753	1.0
187178	40.0
187179	141.0
290774	4.0
356827	1.0
923783	3.0
548233	12.0
195522	4.0
344525	20.0
319621	13.0
177176	4.0
186996	1.0
192093	1.0
216111	2.0
330250	1.0
195805	1.0
1109247	14.0
