feature,importance
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia,0.0020748986289978546
sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Pseudodiaptomidae,0.002073518693780215
sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;o__Alcyonacea,0.002050272461656428
sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae,0.002036040263043294
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae;g__Nannocystis,0.0020323038312620883
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,0.002025508809050395
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae,0.0020238355406642706
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae,0.0020180227941415
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales,0.0020176372707505024
sk__Eukaryota;k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida,0.002000914802240504
sk__Mitochondria,0.0019932377547764424
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,0.0019872201757346005
sk__Bacteria;k__;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae,0.001986713913901976
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida;f__Tintinnidae;g__Salpingella;s__Salpingella_sp.,0.0019651270318722562
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktotalea,0.0019415454474560002
ratio_sk__Eukaryota;k__;p__;c__Pelagophyceae;o__Pelagomonadales;f__;g__Pelagomonas_sk__Eukaryota;k__;p__;c__Cryptophyta;o__Pyrenomonadales;f__Geminigeraceae;g__Geminigera;s__Geminigera_cryophila,0.0019376905494336554
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gonyaulacales;f__Amphidomataceae;g__Azadinium,0.001928719232015954
sk__Bacteria,0.0019210054604855463
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Eukaryota;k__;p__;c__;o__Rotaliida,0.0019162613824127142
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae,0.0019144572594939784
ratio_sk__Eukaryota;k__;p__;c__Pelagophyceae;o__Pelagomonadales;f__;g__Pelagomonas_sk__Eukaryota;k__;p__;c__;o__Kinetoplastida;f__Bodonidae;g__Neobodo,0.0019138232667647488
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria,0.0019074113725381784
ratio_sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__alpha_proteobacterium_HIMB114_sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__gamma_proteobacterium_HIMB30,0.0018961325557965635
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia,0.001895554722313822
sk__Bacteria;k__;p__Firmicutes;c__Clostridia,0.0018924437271342445
ratio_sk__Eukaryota;k__;p__;c__;o__Rotaliida_sk__Eukaryota;k__;p__;c__Pelagophyceae;o__Pelagomonadales;f__;g__Pelagomonas,0.0018744445851597152
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus,0.0018700594129256332
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius,0.0018600997761449066
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Bathycoccaceae;g__Ostreococcus,0.0018497860921109991
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae;g__Haliangium,0.0018269837443533933
sk__Bacteria;k__;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales,0.001822393358161194
abundance_variance,0.0018187643687308493
ratio_sk__Eukaryota;k__;p__;c__;o__Rotaliida_sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida;f__Tintinnidae;g__Salpingella;s__Salpingella_sp.,0.0018095539274353273
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus_sk__Eukaryota;k__;p__;c__Pelagophyceae;o__Pelagomonadales;f__;g__Pelagomonas,0.0018054284508786436
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,0.0018034092186044591
sk__Eukaryota;k__;p__;c__Polycystinea;o__Nassellaria;f__Plagoniidae;g__Pseudocubus,0.0017898334995639707
ratio_sk__Eukaryota;k__;p__;c__;o__Rotaliida_sk__Eukaryota;k__;p__;c__;o__Kinetoplastida;f__Bodonidae;g__Neobodo,0.0017881791492512034
sk__Bacteria;k__;p__Candidatus_Kaiserbacteria,0.0017872918311204714
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,0.0017775535411097415
sk__Bacteria;k__;p__Balneolaeota;c__Balneolia,0.001759693593330251
sk__Eukaryota;k__;p__Picozoa;c__Picomonadea;o__Picomonadida;f__Picomonadidae;g__Picomonas,0.001757742710412863
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus_sk__Eukaryota;k__;p__;c__;o__Kinetoplastida;f__Bodonidae;g__Neobodo,0.0017500753272498156
sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae,0.0017287473001044997
sk__Eukaryota;k__;p__;c__;o__;f__;g__Palpitomonas,0.0017276171737616538
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Syndiniales;f__Amoebophryaceae;g__Amoebophrya;s__Amoebophrya_sp._ex_Alexandrium_affine,0.0017175955141435514
ratio_sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida;f__Tintinnidae;g__Salpingella;s__Salpingella_sp._sk__Eukaryota;k__;p__;c__;o__Kinetoplastida;f__Bodonidae;g__Neobodo,0.0017175722412087356
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,0.0017081720111412307
ratio_sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida;f__Tintinnidae;g__Salpingella;s__Salpingella_sp._sk__Eukaryota;k__;p__;c__Cryptophyta;o__Pyrenomonadales;f__Geminigeraceae;g__Geminigera;s__Geminigera_cryophila,0.0017035904089246843
sk__Bacteria;k__;p__Balneolaeota,0.0017011656615555802
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gonyaulacales;f__Ceratiaceae;g__Neoceratium,0.0016996985898897934
sk__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales,0.001699057621861886
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Eukaryota;k__;p__;c__;o__Kinetoplastida;f__Bodonidae;g__Neobodo,0.0016963521205196213
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata,0.0016963112755229539
sk__Eukaryota;k__;p__;c__;o__Prymnesiales;f__Prymnesiaceae;g__Haptolina,0.0016849636606682677
sk__Eukaryota;k__;p__;c__Florideophyceae;o__Ceramiales;f__Rhodomelaceae,0.0016844019105037322
