5820	120.0	2
105940	5.0	1760.0
141854	2.0	2037.0
95981	17.0	2049.0
100998	99.0	1654.0
204284	479.0	2050.0
204767	522.0	184869.0
201734	2.0	85004.0
200047	4.0	31953.0
139786	249.0	1678.0
33488	86.0	1681.0
232685	33.0	216816.0
43180	102.0	28026.0
3082	1.0	2701.0
172160	2.0	1528099.0
30121	21.0	1653.0
161961	5.0	1716.0
50425	1.0	32207.0
22992	1.0	203133.0
59030	1.0	1393034.0
152544	7.0	84107.0
151413	2.0	1531429.0
114411	216.0	102106.0
197476	5.0	1643826.0
115592	13.0	84111.0
18961	3.0	644652.0
209765	2.0	1335613.0
110343	1188.0	171549.0
118266	12.0	815.0
193496	3028.0	816.0
219073	3.0	291645.0
121640	117.0	2005519.0
56636	799.0	397864.0
65450	2.0	487174.0
125398	32.0	1348911.0
85309	22.0	2005473.0
190359	45.0	283168.0
96156	51.0	28118.0
236424	7.0	171551.0
217808	9.0	1027807.0
51923	517.0	836.0
157866	15.0	1739394.0
179885	17.0	171552.0
195683	596.0	838.0
124968	9.0	28127.0
179272	362.0	1703337.0
134180	20.0	28130.0
175861	207.0	386414.0
184378	189.0	171550.0
57430	550.0	239759.0
199995	1.0	1929083.0
210748	6.0	2005525.0
116834	1096.0	375288.0
196428	53.0	1239.0
22967	12.0	537386.0
217741	1.0	1378.0
46186	1.0	1279.0
23754	2.0	66831.0
105781	1.0	117563.0
52683	19.0	1578.0
125062	28.0	1300.0
13082	11.0	1301.0
145505	20.0	1328.0
77379	1.0	186801.0
72085	1.0	1697781.0
223828	361.0	186802.0
224342	3.0	1392389.0
79553	2.0	1715798.0
222311	529.0	990719.0
159409	17.0	580596.0
46484	2.0	501571.0
152399	3.0	1871020.0
72592	53.0	1649459.0
77609	17.0	543314.0
42299	11.0	1715793.0
222014	2.0	1852367.0
92963	7.0	1185407.0
56358	14.0	1508657.0
84106	668.0	186803.0
48524	102.0	1766253.0
43839	183.0	207244.0
100484	111.0	572511.0
41797	3.0	1796616.0
198176	1.0	33038.0
3010	7.0	189330.0
194833	6.0	1432051.0
8086	77.0	1407607.0
117041	120.0	1506553.0
26386	12.0	1871021.0
165246	18.0	1531.0
189269	25.0	841.0
81468	90.0	1769710.0
202518	3.0	177971.0
25410	49.0	1506577.0
137651	223.0	459786.0
116269	1.0	1871036.0
214167	6.0	186807.0
232649	1.0	2740.0
51939	81.0	2741.0
219656	3.0	186804.0
70139	3.0	1505657.0
130486	1.0	1261.0
49796	47.0	1501226.0
219383	2596.0	541000.0
167877	4.0	52784.0
32768	6.0	244127.0
161288	2.0	1720200.0
80439	298.0	216851.0
51353	24.0	946234.0
129644	9.0	1940255.0
131305	16.0	1650663.0
34218	28.0	1980693.0
187453	5.0	119852.0
119861	52.0	292632.0
138201	1.0	46466.0
107460	15.0	526525.0
226899	9.0	128827.0
117614	123.0	1505663.0
232895	5.0	1573534.0
24406	2.0	1935200.0
153766	1.0	123375.0
218226	1.0	909930.0
153216	1.0	904.0
168640	356.0	33024.0
208998	1.0	1843489.0
76762	2.0	31977.0
82570	306.0	39948.0
236454	1.0	29465.0
25681	8.0	1737404.0
185545	631.0	1582879.0
148067	8.0	1737405.0
136301	38.0	1570339.0
19459	675.0	165779.0
114894	58.0	33032.0
2365	31.0	33034.0
191	18.0	150022.0
42284	56.0	1260.0
223096	8.0	1161127.0
112490	22.0	543311.0
166223	778.0	162289.0
130214	1.0	203491.0
97446	2.0	203492.0
140615	5.0	1224.0
56838	3.0	69277.0
229412	2179.0	204441.0
177358	1.0	995019.0
40276	67.0	577310.0
118628	186.0	40544.0
194578	1.0	213118.0
67022	17.0	194924.0
65996	45.0	35832.0
191781	3.0	213849.0
5608	9.0	72294.0
83087	1857.0	194.0
194828	2.0	76517.0
4410	16.0	827.0
52402	50.0	1236.0
50236	2.0	83763.0
130904	4.0	91347.0
99611	487.0	543.0
120573	1.0	724.0
27045	1.0	68.0
7528	1.0	2129.0
106463	19.0	239934.0
112882	5.0	239935.0
