feature,importance,std
gmwi2,0.1926805214575646,0.019158861911814148
gmwi_diversity_ratio,0.12566179893428175,0.01750807292442552
gmwi_composite,0.12328219626041172,0.016637207602149744
gmwi_exp,0.06821268308232836,0.011131183291794258
gmwi,0.06483991775138924,0.00985380517199288
gmwi_exp_log,0.06304055421803309,0.009654008705190816
gmwi_ratio,0.04636463979919925,0.0035495789908735398
richness_gmwi_ratio,0.04542830987672545,0.00439530414246372
diversity_ratio_log,0.020477940928668028,0.0016029533001929003
diversity_ratio,0.02026780752585862,0.0016991549808674374
richness_shannon_ratio_log,0.0177565613549656,0.0015089363922112175
richness_shannon_ratio,0.01772891340443027,0.0014901911880093861
simpson_diversity,0.01635145813566078,0.001263758250147429
simpson_diversity_log,0.016181079298463064,0.001171195654951633
diversity_product_log,0.014532812581151243,0.001237949921085438
diversity_product,0.014372263503428016,0.0012230113946464082
diversity_zscore,0.012833137560181666,0.001053635001738765
shannon_diversity,0.012826854745084002,0.0010255371915444131
diversity_squared_log,0.012826081477303986,0.0009755359807397896
shannon_diversity_log,0.012805087344891655,0.0010388566587638613
diversity_squared,0.012769782605147719,0.0012162439240166892
normalized_richness_log,0.011548014046410286,0.0010074866788994878
normalized_richness,0.011511191799993077,0.0009734672796909034
species_richness,0.01150337484425456,0.0009511618435839093
richness_percentile,0.011439029251191257,0.0009599795387166595
species_richness_log,0.011395366378926033,0.000993736940474228
richness_percentile_log,0.011362621834056834,0.0009095126933581836
