feature,importance,std
family_Clostridiales,0.01839294239212905,0.05495918868950006
species_Bacteroides,0.01633544046679726,0.04935200036894702
species_Eisenbergiella,0.01340622319086629,0.04467881269171349
order_Tissierellia,0.013060333729259733,0.04276606041494793
family_Mycoplasmatales,0.011739286392961776,0.04393547061919691
species_Actinomyces,0.011553756846226605,0.04442501356694185
species_Campylobacter,0.010846426142289431,0.039819371025952836
species_Barnesiella,0.010810016819426027,0.040767723638488754
order_Erysipelotrichia,0.010595965323026929,0.04187713122586376
class_Firmicutes,0.009950489789197502,0.035095682815264116
evenness_species,0.009771169402875216,0.03639503733125438
species_Unknown,0.009762620139550588,0.03673134165363108
genus_Succinivibrionaceae,0.009382863159710542,0.037313889318026046
family_Erysipelotrichales,0.008999189686440492,0.03796749591429858
species_Merdibacter,0.008968093633371043,0.034774155012464524
species_Anaerotruncus,0.00880539227927008,0.03636351782533091
family_Xanthomonadales,0.008700777686276464,0.03492758923691739
genus_Campylobacteraceae,0.008626063574740144,0.032402378447260585
shannon_diversity_genus,0.008564304720105814,0.03250189495642293
class_Proteobacteria,0.008259953781886277,0.033611842702880215
genus_Aerococcaceae,0.00820019822972147,0.03471106704831345
genus_Hungateiclostridiaceae,0.008045599940120033,0.03523457264091979
genus_Eggerthellaceae,0.007977625033426642,0.03220713020778985
species_Parabacteroides,0.007914934368742486,0.03244715792962465
species_Fournierella,0.007834105456621436,0.034148434305943526
shannon_diversity_class,0.007722268463003289,0.029091867147459996
family_Bacteroidales,0.007689414026620701,0.02972913083314791
genus_Propionibacteriaceae,0.007666458587045007,0.03159552548027557
shannon_diversity_species,0.007573722961724949,0.030138583153720824
evenness_class,0.0074607280512533,0.030366073129941544
genus_Porphyromonadaceae,0.007391107247171954,0.03274010717972523
species_Ezakiella,0.007197045951768824,0.03059687934292738
species_Eggerthella,0.007075937170731126,0.030189347816911995
order_Bacteroidia,0.006958035460340974,0.02987384619510638
shannon_diversity_family,0.0069065217388447715,0.02911161614775637
genus_Bacteroidaceae,0.0068745607532868114,0.028060335178625263
genus_Xanthomonadaceae,0.006837321108098328,0.0293855461282042
