type	id	attributes	relationships	links
samples	ERS714917	{'latitude': 18.3769, 'sample-metadata': [{'key': 'investigation type', 'value': 'metagenome', 'unit': None}, {'key': 'project name', 'value': 'Cayman', 'unit': None}, {'key': 'geographic location (depth)', 'value': '2308', 'unit': 'm'}, {'key': 'collection date', 'value': '2012-01-19', 'unit': None}, {'key': 'sequencing method', 'value': 'Illumina', 'unit': None}, {'key': 'NCBI sample classification', 'value': '652676', 'unit': None}, {'key': 'instrument model', 'value': 'Illumina HiSeq 2000', 'unit': None}, {'key': 'ENA checklist', 'value': 'GSC MIxS water (ERC000024)', 'unit': None}, {'key': 'water environmental package', 'value': 'water', 'unit': None}], 'biosample': 'SAMEA3367191', 'longitude': -81.7979, 'accession': 'ERS714917', 'analysis-completed': '2017-03-21', 'collection-date': None, 'geo-loc-name': 'Cayman Islands', 'sample-desc': 'Ginger Castle, Von Damm', 'environment-biome': 'marine hydrothermal vent', 'environment-feature': 'marine hydrothermal vent', 'environment-material': 'sea water', 'sample-name': 'FS848', 'sample-alias': 'FS848', 'host-tax-id': None, 'species': None, 'last-update': '2017-03-21T11:42:49'}	{'studies': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS714917/studies'}, 'data': [{'type': 'studies', 'id': 'MGYS00001608', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001608'}}, {'type': 'studies', 'id': 'MGYS00002031', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002031'}}]}, 'runs': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS714917/runs'}}, 'biome': {'data': {'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine:Hydrothermal vents'}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Hydrothermal%20vents'}}}	{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS714917'}
samples	ERS714918	{'latitude': 18.5466, 'sample-metadata': [{'key': 'investigation type', 'value': 'metagenome', 'unit': None}, {'key': 'project name', 'value': 'Cayman', 'unit': None}, {'key': 'geographic location (depth)', 'value': '4940', 'unit': 'm'}, {'key': 'collection date', 'value': '2012-01-23', 'unit': None}, {'key': 'sequencing method', 'value': 'Illumina', 'unit': None}, {'key': 'NCBI sample classification', 'value': '652676', 'unit': None}, {'key': 'instrument model', 'value': 'Illumina HiSeq 2000', 'unit': None}, {'key': 'ENA checklist', 'value': 'GSC MIxS water (ERC000024)', 'unit': None}, {'key': 'water environmental package', 'value': 'water', 'unit': None}], 'biosample': 'SAMEA3367192', 'longitude': -81.7177, 'accession': 'ERS714918', 'analysis-completed': '2017-03-21', 'collection-date': None, 'geo-loc-name': 'Cayman Islands', 'sample-desc': 'Shrimp Gulley #2, Piccard', 'environment-biome': 'marine hydrothermal vent', 'environment-feature': 'marine hydrothermal vent', 'environment-material': 'sea water', 'sample-name': 'FS856', 'sample-alias': 'FS856', 'host-tax-id': None, 'species': None, 'last-update': '2017-03-21T11:42:49'}	{'studies': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS714918/studies'}, 'data': [{'type': 'studies', 'id': 'MGYS00001608', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001608'}}]}, 'runs': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS714918/runs'}}, 'biome': {'data': {'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine:Hydrothermal vents'}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Hydrothermal%20vents'}}}	{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS714918'}
