sample_id	biosample	collection_date	environment_biome	environment_feature	environment_material	host_tax_id	host_scientific_name	geographic_location_(longitude)	geographic_location_(country_and/or_sea,region)	environment_(biome)	environment_(feature)	environment_(material)	altitude	depth	elevation	host_common_name	geographic_location_(latitude)	instrument_model
ERS339459	SAMEA2171519	2012-10-05	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	3.883	GAZ:France	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	89.0	Giant anteater	43.6	unspecified
ERS339460	SAMEA2171520	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339461	SAMEA2171521	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339462	SAMEA2171522	2012-06-25	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339463	SAMEA2171523	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339464	SAMEA2171524	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339465	SAMEA2171525	2009-09-17	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Chlamyphorus truncatus	-68.867	GAZ:Argentina	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2449.0	Pink fairy armadillo	-32.8	unspecified
ERS339466	SAMEA2171526	2012-10-05	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	3.883	GAZ:France	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	89.0	Giant anteater	43.6	unspecified
ERS339467	SAMEA2171527	2012-08-17	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Euphractus sexcinctus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Six-banded armadillo	39.167	unspecified
ERS339468	SAMEA2171528	2012-06-25	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	0.891874	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	16.0	Aardvark	51.89592	unspecified
ERS339469	SAMEA2171529	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Chaetophractus vellerosus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Screaming hairy armadillo	39.167	unspecified
ERS339470	SAMEA2171530	2012-08-14	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Aardvark	39.167	unspecified
ERS339471	SAMEA2171531	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Priodontes maximus	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant armadillo	-18.12126	unspecified
