sample_id	biosample	collection_date	environment_biome	environment_feature	environment_material	host_tax_id	host_scientific_name	geographic_location_(longitude)	geographic_location_(country_and/or_sea,region)	environment_(biome)	environment_(feature)	environment_(material)	altitude	depth	elevation	host_common_name	geographic_location_(latitude)	instrument_model
ERS339398	SAMEA2171458	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339399	SAMEA2171459	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339400	SAMEA2171460	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Proteles cristatus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Aardwolf	39.167	unspecified
ERS339401	SAMEA2171461	2012-01-01/2012-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Choloepus hoffmanni	-84.38798	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	319.0	Hoffmann&apos;s two-toed sloth	33.749	unspecified
ERS339402	SAMEA2171462	2012-10-05	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Euphractus sexcinctus	3.883	GAZ:France	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	89.0	Six-banded armadillo	43.6	unspecified
ERS339403	SAMEA2171463	2012-08-19	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	-0.167	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	79.0	Aardvark	51.5	unspecified
ERS339404	SAMEA2171464	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339405	SAMEA2171465	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Proteles cristatus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Aardwolf	39.167	unspecified
ERS339406	SAMEA2171466	2012-01-01/2012-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Choloepus hoffmanni	-95.36939	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	14.0	Hoffmann&apos;s two-toed sloth	29.76019	unspecified
ERS339407	SAMEA2171467	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Tolypeutes matacus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Southern three-banded armadillo	39.167	unspecified
ERS339408	SAMEA2171468	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Priodontes maximus	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant armadillo	-18.12126	unspecified
ERS339409	SAMEA2171469	2012-01-01/2012-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Choloepus hoffmanni	-84.38798	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	319.0	Hoffmann&apos;s two-toed sloth	33.749	unspecified
ERS339410	SAMEA2171470	2012-10-05	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Euphractus sexcinctus	3.883	GAZ:France	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	89.0	Six-banded armadillo	43.6	unspecified
ERS339411	SAMEA2171471	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339412	SAMEA2171472	2012-08-17	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Orycteropus afer	-0.167	GAZ:United Kingdom	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	79.0	Aardvark	51.5	unspecified
ERS339413	SAMEA2171473	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339414	SAMEA2171474	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339415	SAMEA2171475	2012-04-07	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Manis pentadactyla	12.417	GAZ:Germany	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	361.0	Chinese pangolin	51.333	unspecified
ERS339416	SAMEA2171476	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339417	SAMEA2171477	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339418	SAMEA2171478	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339419	SAMEA2171479	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
