OTU_ID	b'ERR328037'
b'250156'|b'sk__Bacteria';b'k__';b'p__Bacteroidetes';b'c__Flavobacteriia';b'o__Flavobacteriales';b'f__Flavobacteriaceae';b'';b''	13.0
b'216452'|b'sk__Bacteria';b'k__';b'p__Bacteroidetes';b'c__Flavobacteriia';b'o__Flavobacteriales';b'f__Flavobacteriaceae';b'g__Chryseobacterium';b''	8.0
b'71340'|b'sk__Bacteria';b'k__';b'p__Bacteroidetes';b'c__Sphingobacteriia';b'o__Sphingobacteriales';b'f__Sphingobacteriaceae';b'g__Arcticibacter';b''	1.0
b'157715'|b'sk__Bacteria';b'k__';b'p__Cyanobacteria';b'';b'';b'';b'';b''	19.0
b'239430'|b'sk__Bacteria';b'k__';b'p__Elusimicrobia';b'c__Elusimicrobia';b'o__Elusimicrobiales';b'f__Elusimicrobiaceae';b'g__Elusimicrobium';b''	1.0
b'201118'|b'sk__Bacteria';b'k__';b'p__Fibrobacteres';b'c__Fibrobacteria';b'o__Fibrobacterales';b'';b'';b''	2.0
b'213056'|b'sk__Bacteria';b'k__';b'p__Fibrobacteres';b'c__Fibrobacteria';b'o__Fibrobacterales';b'f__Fibrobacteraceae';b'g__Fibrobacter';b''	4.0
b'10473'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'';b'';b'';b'';b''	5.0
b'157587'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Bacillales';b'';b'';b''	3.0
b'88454'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Bacillales';b'f__';b'g__Exiguobacterium';b''	1.0
b'174245'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Bacillales';b'f__Bacillaceae';b'';b''	1.0
b'261145'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'';b'';b''	14.0
b'53343'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Aerococcaceae';b'';b''	19.0
b'248417'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Aerococcaceae';b'g__Aerococcus';b''	6.0
b'44651'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Aerococcaceae';b'g__Ignavigranum';b''	1.0
b'107926'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Carnobacteriaceae';b'';b''	30.0
b'47095'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Carnobacteriaceae';b'g__Jeotgalibaca';b''	3.0
b'72039'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Lactobacillaceae';b'g__Lactobacillus';b''	5.0
b'195664'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Leuconostocaceae';b'g__Weissella';b''	6.0
b'140064'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Streptococcaceae';b'';b''	30.0
b'117829'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Bacilli';b'o__Lactobacillales';b'f__Streptococcaceae';b'g__Streptococcus';b''	96.0
b'254595'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'';b'';b''	688.0
b'257771'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__';b'g__';b's__[Bacteroides]_pectinophilus'	2.0
b'194770'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__';b'g__Intestinimonas';b''	1.0
b'244444'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Christensenellaceae';b'';b''	18.0
b'25354'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Clostridiaceae';b'';b''	1.0
b'248188'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Clostridiaceae';b'g__Butyricicoccus';b''	2.0
b'38947'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Clostridiaceae';b'g__Clostridium';b''	5.0
b'165982'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Clostridiaceae';b'g__Sarcina';b''	3.0
b'125668'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Clostridiales_Family_XIII._Incertae_Sedis';b'';b''	4.0
b'138336'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Clostridiales_Family_XIII._Incertae_Sedis';b'g__Anaerovorax';b''	1.0
b'138150'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Defluviitaleaceae';b'';b''	3.0
b'121654'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Eubacteriaceae';b'g__Eubacterium';b's__[Eubacterium]_eligens'	1.0
b'71581'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'';b''	1595.0
b'81126'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Agathobacter';b''	132.0
b'30468'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Anaerostipes';b''	39.0
b'43467'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Blautia';b''	243.0
b'20281'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Dorea';b''	110.0
b'179047'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Dorea';b's__Dorea_formicigenerans'	1.0
b'65791'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Fusicatenibacter';b''	76.0
b'43136'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Herbinix';b''	1.0
b'42037'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Lachnoclostridium';b''	13.0
b'43214'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Lachnospira';b''	58.0
b'235820'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Marvinbryantia';b''	3.0
b'106086'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Moryella';b''	3.0
b'121918'|b'sk__Bacteria';b'k__';b'p__Firmicutes';b'c__Clostridia';b'o__Clostridiales';b'f__Lachnospiraceae';b'g__Oribacterium';b''	432.0
